name	defined	refCount	sampleRef
importEntriesJSON	C:\Dev\Projects\JotFolio\source\src\lib\exports.js:98	0
DEFAULT_FEATURE_FLAGS	C:\Dev\Projects\JotFolio\source\src\lib\featureFlags.js:1	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:6
normalizeFeatureFlags	C:\Dev\Projects\JotFolio\source\src\lib\featureFlags.js:16	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:6
shouldShowEntryType	C:\Dev\Projects\JotFolio\source\src\lib\featureFlags.js:33	0
filterEntriesForUI	C:\Dev\Projects\JotFolio\source\src\lib\featureFlags.js:41	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:6
FrontmatterError	C:\Dev\Projects\JotFolio\source\src\lib\frontmatter.js:20	4	C:\Dev\Projects\JotFolio\source\src\security\__tests__\hardening.test.js:3
parse	C:\Dev\Projects\JotFolio\source\src\lib\frontmatter.js:34	127	C:\Dev\Projects\JotFolio\source\src\adapters\LocalAdapter.js:76
FRONTMATTER_EXTRAS_FIELD	C:\Dev\Projects\JotFolio\source\src\lib\frontmatter.js:176	17	C:\Dev\Projects\JotFolio\source\src\features\notes\NotesWorkspaceView.jsx:3
MANUAL_LINKS_FIELD	C:\Dev\Projects\JotFolio\source\src\lib\frontmatter.js:177	23	C:\Dev\Projects\JotFolio\source\src\App.jsx:10
serialize	C:\Dev\Projects\JotFolio\source\src\lib\frontmatter.js:208	4	C:\Dev\Projects\JotFolio\source\src\App.jsx:10
stripFrontmatter	C:\Dev\Projects\JotFolio\source\src\lib\frontmatter.js:250	0
slugify	C:\Dev\Projects\JotFolio\source\src\lib\frontmatter.js:258	7	C:\Dev\Projects\JotFolio\source\src\lib\parser\headings.js:16
TYPE_FOLDER	C:\Dev\Projects\JotFolio\source\src\lib\frontmatter.js:269	3	C:\Dev\Projects\JotFolio\source\src\features\add\AddModal.jsx:3
entryToFile	C:\Dev\Projects\JotFolio\source\src\lib\frontmatter.js:288	7	C:\Dev\Projects\JotFolio\source\src\features\vault\useVault.js:6
fileToEntry	C:\Dev\Projects\JotFolio\source\src\lib\frontmatter.js:351	5	C:\Dev\Projects\JotFolio\source\src\features\vault\useVault.js:17
useDebouncedCallback	C:\Dev\Projects\JotFolio\source\src\lib\hooks.js:4	2	C:\Dev\Projects\JotFolio\source\src\features\editor\NoteBody.jsx:5
useSystemDark	C:\Dev\Projects\JotFolio\source\src\lib\hooks.js:17	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:13
useEscapeKey	C:\Dev\Projects\JotFolio\source\src\lib\hooks.js:38	16	C:\Dev\Projects\JotFolio\source\src\features\add\AddModal.jsx:5
useAutoFocus	C:\Dev\Projects\JotFolio\source\src\lib\hooks.js:52	8	C:\Dev\Projects\JotFolio\source\src\features\add\AddModal.jsx:5
NOTE_MD_CSS	C:\Dev\Projects\JotFolio\source\src\lib\markdown.js:2	0
injectNoteCss	C:\Dev\Projects\JotFolio\source\src\lib\markdown.js:23	2	C:\Dev\Projects\JotFolio\source\src\features\editor\NoteBody.jsx:6
renderWikiLinks	C:\Dev\Projects\JotFolio\source\src\lib\markdown.js:32	4	C:\Dev\Projects\JotFolio\source\src\features\editor\NoteBody.jsx:6
escapeHtml	C:\Dev\Projects\JotFolio\source\src\lib\markdown.js:40	2	C:\Dev\Projects\JotFolio\source\src\features\editor\NoteBody.jsx:6
sanitizeHtml	C:\Dev\Projects\JotFolio\source\src\lib\markdown.js:58	13	C:\Dev\Projects\JotFolio\source\src\features\editor\NoteBody.jsx:6
getCaretCoords	C:\Dev\Projects\JotFolio\source\src\lib\markdown.js:117	2	C:\Dev\Projects\JotFolio\source\src\features\editor\NoteBody.jsx:6
detectWikiTrigger	C:\Dev\Projects\JotFolio\source\src\lib\markdown.js:148	2	C:\Dev\Projects\JotFolio\source\src\features\editor\NoteBody.jsx:6
CORRUPT_STORAGE_CODE	C:\Dev\Projects\JotFolio\source\src\lib\storage.js:10	0
StorageCorruptionError	C:\Dev\Projects\JotFolio\source\src\lib\storage.js:12	0
isStorageCorruptionError	C:\Dev\Projects\JotFolio\source\src\lib\storage.js:25	3	C:\Dev\Projects\JotFolio\source\src\App.jsx:9
storageQuarantineKey	C:\Dev\Projects\JotFolio\source\src\lib\storage.js:30	0
storage	C:\Dev\Projects\JotFolio\source\src\lib\storage.js:58	37	C:\Dev\Projects\JotFolio\source\src\adapters\VaultAdapter.js:10
uid	C:\Dev\Projects\JotFolio\source\src\lib\storage.js:87	4	C:\Dev\Projects\JotFolio\source\src\App.jsx:9
createEntryId	C:\Dev\Projects\JotFolio\source\src\lib\storage.js:88	6	C:\Dev\Projects\JotFolio\source\src\App.jsx:9
formatDate	C:\Dev\Projects\JotFolio\source\src\lib\storage.js:102	12	C:\Dev\Projects\JotFolio\source\src\features\card\Card.jsx:3
withAlpha	C:\Dev\Projects\JotFolio\source\src\lib\storage.js:103	8	C:\Dev\Projects\JotFolio\source\src\features\add\AddModal.jsx:4
isSafeUrl	C:\Dev\Projects\JotFolio\source\src\lib\storage.js:108	10	C:\Dev\Projects\JotFolio\source\src\features\add\AddModal.jsx:4
normalizeTags	C:\Dev\Projects\JotFolio\source\src\lib\storage.js:109	15	C:\Dev\Projects\JotFolio\source\src\features\add\AddModal.jsx:4
pickEntryFields	C:\Dev\Projects\JotFolio\source\src\lib\storage.js:113	5	C:\Dev\Projects\JotFolio\source\src\features\add\AddModal.jsx:4
startVoiceRecognition	C:\Dev\Projects\JotFolio\source\src\lib\storage.js:117	2	C:\Dev\Projects\JotFolio\source\src\features\detail\DetailPanel.jsx:3
userOptedIn	C:\Dev\Projects\JotFolio\source\src\lib\telemetry.js:15	3	C:\Dev\Projects\JotFolio\source\src\features\settings\PrivacyPanel.jsx:4
setOptIn	C:\Dev\Projects\JotFolio\source\src\lib\telemetry.js:23	4	C:\Dev\Projects\JotFolio\source\src\features\settings\PrivacyPanel.jsx:4
hasDecided	C:\Dev\Projects\JotFolio\source\src\lib\telemetry.js:31	4	C:\Dev\Projects\JotFolio\source\src\features\settings\PrivacyPanel.jsx:4
hydrateOptInFromMain	C:\Dev\Projects\JotFolio\source\src\lib\telemetry.js:35	3	C:\Dev\Projects\JotFolio\source\src\features\settings\PrivacyPanel.jsx:4
init	C:\Dev\Projects\JotFolio\source\src\lib\telemetry.js:71	5	C:\Dev\Projects\JotFolio\source\src\lib\ai\openrouter.test.js:34
captureError	C:\Dev\Projects\JotFolio\source\src\lib\telemetry.js:99	0
TYPES	C:\Dev\Projects\JotFolio\source\src\lib\types.js:1	0
KNOWLEDGE_TYPES	C:\Dev\Projects\JotFolio\source\src\lib\types.js:2	1	C:\Dev\Projects\JotFolio\source\src\lib\keywordRules\useKeywordRules.js:84
ALL_ENTRY_TYPES	C:\Dev\Projects\JotFolio\source\src\lib\types.js:3	16	C:\Dev\Projects\JotFolio\source\src\App.jsx:5
ICON	C:\Dev\Projects\JotFolio\source\src\lib\types.js:4	48	C:\Dev\Projects\JotFolio\source\src\App.jsx:5
LABEL	C:\Dev\Projects\JotFolio\source\src\lib\types.js:5	19	C:\Dev\Projects\JotFolio\source\src\features\constellation\CompilePreviewModal.jsx:3
STATUSES	C:\Dev\Projects\JotFolio\source\src\lib\types.js:6	6	C:\Dev\Projects\JotFolio\source\src\features\add\AddModal.jsx:2
STATUS_LABELS	C:\Dev\Projects\JotFolio\source\src\lib\types.js:13	0
displayStatus	C:\Dev\Projects\JotFolio\source\src\lib\types.js:39	23	C:\Dev\Projects\JotFolio\source\src\features\bases\BaseView.jsx:4
NO_URL_TYPES	C:\Dev\Projects\JotFolio\source\src\lib\types.js:41	2	C:\Dev\Projects\JotFolio\source\src\features\detail\DetailPanel.jsx:2
COMMON_FIELDS	C:\Dev\Projects\JotFolio\source\src\lib\types.js:42	2	C:\Dev\Projects\JotFolio\source\src\lib\storage.js:1
TYPE_FIELDS	C:\Dev\Projects\JotFolio\source\src\lib\types.js:43	2	C:\Dev\Projects\JotFolio\source\src\lib\storage.js:1
STATUS_DONE	C:\Dev\Projects\JotFolio\source\src\lib\types.js:58	0
STATUS_BROKEN	C:\Dev\Projects\JotFolio\source\src\lib\types.js:59	0
statusTone	C:\Dev\Projects\JotFolio\source\src\lib\types.js:60	6	C:\Dev\Projects\JotFolio\source\src\features\card\Card.jsx:2
statusBg	C:\Dev\Projects\JotFolio\source\src\lib\types.js:65	6	C:\Dev\Projects\JotFolio\source\src\features\card\Card.jsx:2
ALL_STATUS_VALUES	C:\Dev\Projects\JotFolio\source\src\lib\types.js:66	2	C:\Dev\Projects\JotFolio\source\src\features\toolbar\Toolbar.jsx:2
today	C:\Dev\Projects\JotFolio\source\src\lib\types.js:67	87	C:\Dev\Projects\JotFolio\source\src\App.jsx:925
TYPE_TOKENS	C:\Dev\Projects\JotFolio\source\src\lib\types.js:88	0
MEMORY_TOKENS	C:\Dev\Projects\JotFolio\source\src\lib\types.js:99	0
TYPE_THEME_LEVELS	C:\Dev\Projects\JotFolio\source\src\lib\types.js:105	0
TYPE_SATURATION_LEVELS	C:\Dev\Projects\JotFolio\source\src\lib\types.js:108	0
migrateTypeSatToTheme	C:\Dev\Projects\JotFolio\source\src\lib\types.js:118	0
applyTypeSat	C:\Dev\Projects\JotFolio\source\src\lib\types.js:131	4	C:\Dev\Projects\JotFolio\source\src\features\constellation\ConstellationView.jsx:2
attachmentPathFor	C:\Dev\Projects\JotFolio\source\src\lib\vaultAttachments.js:7	0
importAttachment	C:\Dev\Projects\JotFolio\source\src\lib\vaultAttachments.js:13	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:57
VaultExportError	C:\Dev\Projects\JotFolio\source\src\lib\vaultExportZip.js:5	0
crc32	C:\Dev\Projects\JotFolio\source\src\lib\vaultExportZip.js:24	0
buildZip	C:\Dev\Projects\JotFolio\source\src\lib\vaultExportZip.js:61	0
exportVaultAsZip	C:\Dev\Projects\JotFolio\source\src\lib\vaultExportZip.js:142	2	C:\Dev\Projects\JotFolio\source\src\features\settings\SettingsPanel.jsx:21
normalizeVaultFolder	C:\Dev\Projects\JotFolio\source\src\lib\vaultPaths.js:1	4	C:\Dev\Projects\JotFolio\source\src\App.jsx:56
normalizeMarkdownFileName	C:\Dev\Projects\JotFolio\source\src\lib\vaultPaths.js:13	0
joinVaultPath	C:\Dev\Projects\JotFolio\source\src\lib\vaultPaths.js:22	3	C:\Dev\Projects\JotFolio\source\src\App.jsx:56
folderFromPath	C:\Dev\Projects\JotFolio\source\src\lib\vaultPaths.js:28	4	C:\Dev\Projects\JotFolio\source\src\App.jsx:56
fileNameFromPath	C:\Dev\Projects\JotFolio\source\src\lib\vaultPaths.js:34	5	C:\Dev\Projects\JotFolio\source\src\App.jsx:56
folderContainsPath	C:\Dev\Projects\JotFolio\source\src\lib\vaultPaths.js:40	4	C:\Dev\Projects\JotFolio\source\src\App.jsx:56
isInternalVaultPath	C:\Dev\Projects\JotFolio\source\src\lib\vaultPaths.js:47	3	C:\Dev\Projects\JotFolio\source\src\features\vault\useVault.js:21
buildFolderTree	C:\Dev\Projects\JotFolio\source\src\lib\vaultPaths.js:55	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:56
TRASH_DIR	C:\Dev\Projects\JotFolio\source\src\lib\vaultTrash.js:1	7	C:\Dev\Projects\JotFolio\source\src\App.jsx:55
trashPathFor	C:\Dev\Projects\JotFolio\source\src\lib\vaultTrash.js:12	0
originalPathFromTrashPath	C:\Dev\Projects\JotFolio\source\src\lib\vaultTrash.js:19	9	C:\Dev\Projects\JotFolio\source\src\App.jsx:55
moveToTrash	C:\Dev\Projects\JotFolio\source\src\lib\vaultTrash.js:29	7	C:\Dev\Projects\JotFolio\source\src\App.jsx:55
restoreFromTrash	C:\Dev\Projects\JotFolio\source\src\lib\vaultTrash.js:39	4	C:\Dev\Projects\JotFolio\source\src\App.jsx:55
vault	C:\Dev\Projects\JotFolio\source\src\adapters\index.js:21	424	C:\Dev\Projects\JotFolio\source\src\adapters\LocalAdapter.js:4
VaultError	C:\Dev\Projects\JotFolio\source\src\adapters\index.js:22	83	C:\Dev\Projects\JotFolio\source\src\adapters\LocalAdapter.js:11
LocalAdapter	C:\Dev\Projects\JotFolio\source\src\adapters\index.js:23	29	C:\Dev\Projects\JotFolio\source\src\adapters\LocalAdapter.js:1
NodeFsAdapter	C:\Dev\Projects\JotFolio\source\src\adapters\index.js:23	15	C:\Dev\Projects\JotFolio\source\src\adapters\NodeFsAdapter.js:1
VaultAdapter	C:\Dev\Projects\JotFolio\source\src\adapters\index.js:24	22	C:\Dev\Projects\JotFolio\source\src\adapters\LocalAdapter.js:10
LocalAdapter	C:\Dev\Projects\JotFolio\source\src\adapters\LocalAdapter.js:105	35	C:\Dev\Projects\JotFolio\source\src\adapters\index.js:5
NodeFsAdapter	C:\Dev\Projects\JotFolio\source\src\adapters\NodeFsAdapter.js:24	10	C:\Dev\Projects\JotFolio\source\src\adapters\index.js:4
VaultAdapter	C:\Dev\Projects\JotFolio\source\src\adapters\VaultAdapter.js:51	18	C:\Dev\Projects\JotFolio\source\src\adapters\index.js:24
VaultError	C:\Dev\Projects\JotFolio\source\src\adapters\VaultError.js:14	62	C:\Dev\Projects\JotFolio\source\src\adapters\index.js:22
SOURCES	C:\Dev\Projects\JotFolio\source\src\parsers\index.js:7	2	C:\Dev\Projects\JotFolio\source\src\onboarding\WelcomePanel.jsx:2
parse	C:\Dev\Projects\JotFolio\source\src\parsers\jotfolio.js:12	148	C:\Dev\Projects\JotFolio\source\src\adapters\LocalAdapter.js:76
parse	C:\Dev\Projects\JotFolio\source\src\parsers\kindle.js:3	149	C:\Dev\Projects\JotFolio\source\src\adapters\LocalAdapter.js:76
parseMarkdown	C:\Dev\Projects\JotFolio\source\src\parsers\obsidian.js:3	6	C:\Dev\Projects\JotFolio\source\src\parsers\__tests__\obsidian.test.js:2
parseVault	C:\Dev\Projects\JotFolio\source\src\parsers\obsidian.js:62	3	C:\Dev\Projects\JotFolio\source\src\parsers\__tests__\obsidian.test.js:2
parse	C:\Dev\Projects\JotFolio\source\src\parsers\obsidian.js:75	149	C:\Dev\Projects\JotFolio\source\src\adapters\LocalAdapter.js:76
parse	C:\Dev\Projects\JotFolio\source\src\parsers\pocket.js:4	149	C:\Dev\Projects\JotFolio\source\src\adapters\LocalAdapter.js:76
parse	C:\Dev\Projects\JotFolio\source\src\parsers\readwise.js:3	148	C:\Dev\Projects\JotFolio\source\src\adapters\LocalAdapter.js:76
CommandRegistry	C:\Dev\Projects\JotFolio\source\src\plugins\CommandRegistry.js:4	7	C:\Dev\Projects\JotFolio\source\src\plugins\PluginAPI.js:13
commands	C:\Dev\Projects\JotFolio\source\src\plugins\CommandRegistry.js:45	94	C:\Dev\Projects\JotFolio\source\src\App.jsx:199
EventBus	C:\Dev\Projects\JotFolio\source\src\plugins\EventBus.js:6	4	C:\Dev\Projects\JotFolio\source\src\plugins\PluginAPI.js:14
appBus	C:\Dev\Projects\JotFolio\source\src\plugins\EventBus.js:42	7	C:\Dev\Projects\JotFolio\source\src\plugins\PluginAPI.js:14
OFFICIAL_PLUGINS	C:\Dev\Projects\JotFolio\source\src\plugins\officialPlugins.js:23	3	C:\Dev\Projects\JotFolio\source\src\features\settings\PluginsPanel.jsx:7
installOfficial	C:\Dev\Projects\JotFolio\source\src\plugins\officialPlugins.js:46	4	C:\Dev\Projects\JotFolio\source\src\features\settings\PluginsPanel.jsx:3
createPluginAPI	C:\Dev\Projects\JotFolio\source\src\plugins\PluginAPI.js:20	8	C:\Dev\Projects\JotFolio\source\src\security\__tests__\hardening.test.js:5
PluginBridge	C:\Dev\Projects\JotFolio\source\src\plugins\PluginBridge.js:32	9	C:\Dev\Projects\JotFolio\source\src\plugins\PluginAPI.js:80
PluginHost	C:\Dev\Projects\JotFolio\source\src\plugins\PluginHost.js:43	10	C:\Dev\Projects\JotFolio\source\src\features\settings\PluginsPanel.jsx:6
pluginHost	C:\Dev\Projects\JotFolio\source\src\plugins\PluginHost.js:320	11	C:\Dev\Projects\JotFolio\source\src\App.jsx:25
ownManifest	C:\Dev\Projects\JotFolio\source\src\plugins\PluginHost.js:324	0
AddModal	C:\Dev\Projects\JotFolio\source\src\features\add\AddModal.jsx:140	6	C:\Dev\Projects\JotFolio\source\src\App.jsx:64
BaseExplorer	C:\Dev\Projects\JotFolio\source\src\features\bases\BaseExplorer.jsx:9	2	C:\Dev\Projects\JotFolio\source\src\features\shell\AppRouteContent.jsx:21
BaseView	C:\Dev\Projects\JotFolio\source\src\features\bases\BaseView.jsx:337	7	C:\Dev\Projects\JotFolio\source\src\App.jsx:700
VIEW_TYPES	C:\Dev\Projects\JotFolio\source\src\features\bases\BaseView.jsx:413	2	C:\Dev\Projects\JotFolio\source\src\lib\base\baseTypes.js:53
CanvasExplorer	C:\Dev\Projects\JotFolio\source\src\features\canvas\CanvasExplorer.jsx:13	2	C:\Dev\Projects\JotFolio\source\src\features\shell\AppRouteContent.jsx:22
CanvasView	C:\Dev\Projects\JotFolio\source\src\features\canvas\CanvasView.jsx:57	3	C:\Dev\Projects\JotFolio\source\src\features\canvas\CanvasExplorer.jsx:2
Card	C:\Dev\Projects\JotFolio\source\src\features\card\Card.jsx:7	6	C:\Dev\Projects\JotFolio\source\src\features\canvas\CanvasView.jsx:397
Row	C:\Dev\Projects\JotFolio\source\src\features\card\Row.jsx:5	3	C:\Dev\Projects\JotFolio\source\src\features\card\Card.jsx:5
registerBuiltinCommands	C:\Dev\Projects\JotFolio\source\src\features\commandPalette\builtinCommands.js:18	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:20
CommandPalette	C:\Dev\Projects\JotFolio\source\src\features\commandPalette\CommandPalette.jsx:48	4	C:\Dev\Projects\JotFolio\source\src\App.jsx:65
CompilePreviewModal	C:\Dev\Projects\JotFolio\source\src\features\constellation\CompilePreviewModal.jsx:12	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:66
ConstellationStateOverlay	C:\Dev\Projects\JotFolio\source\src\features\constellation\ConstellationStateOverlay.jsx:104	3	C:\Dev\Projects\JotFolio\source\src\features\constellation\ConstellationView.jsx:11
ConstellationView	C:\Dev\Projects\JotFolio\source\src\features\constellation\ConstellationView.jsx:53	6	C:\Dev\Projects\JotFolio\source\src\App.jsx:1362
CONSTELLATION_ROLE_LABELS	C:\Dev\Projects\JotFolio\source\src\features\constellation\constellationVisuals.js:3	0
graphDegree	C:\Dev\Projects\JotFolio\source\src\features\constellation\constellationVisuals.js:13	0
getNodeRole	C:\Dev\Projects\JotFolio\source\src\features\constellation\constellationVisuals.js:17	0
nodeRoleLabel	C:\Dev\Projects\JotFolio\source\src\features\constellation\constellationVisuals.js:27	2	C:\Dev\Projects\JotFolio\source\src\features\constellation\ConstellationView.jsx:17
getNodePalette	C:\Dev\Projects\JotFolio\source\src\features\constellation\constellationVisuals.js:33	0
getNodeVisualState	C:\Dev\Projects\JotFolio\source\src\features\constellation\constellationVisuals.js:81	6	C:\Dev\Projects\JotFolio\source\src\features\constellation\ConstellationView.jsx:16
getEdgeVisualState	C:\Dev\Projects\JotFolio\source\src\features\constellation\constellationVisuals.js:109	2	C:\Dev\Projects\JotFolio\source\src\features\constellation\ConstellationView.jsx:15
summarizeGraph	C:\Dev\Projects\JotFolio\source\src\features\constellation\constellationVisuals.js:127	2	C:\Dev\Projects\JotFolio\source\src\features\constellation\ConstellationView.jsx:18
computeAffinityLayout	C:\Dev\Projects\JotFolio\source\src\features\constellation\layout.js:10	4	C:\Dev\Projects\JotFolio\source\src\features\constellation\ConstellationView.jsx:13
computeClusterLayout	C:\Dev\Projects\JotFolio\source\src\features\constellation\layout.js:79	4	C:\Dev\Projects\JotFolio\source\src\features\constellation\ConstellationView.jsx:13
computeMessyLayout	C:\Dev\Projects\JotFolio\source\src\features\constellation\layout.js:175	4	C:\Dev\Projects\JotFolio\source\src\features\constellation\ConstellationView.jsx:13
MemoryDetailPanel	C:\Dev\Projects\JotFolio\source\src\features\constellation\MemoryDetailPanel.jsx:22	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:69
MemoryNode	C:\Dev\Projects\JotFolio\source\src\features\constellation\MemoryNode.jsx:19	0
StarNode	C:\Dev\Projects\JotFolio\source\src\features\constellation\nodeRenderers.jsx:40	0
BoardNode	C:\Dev\Projects\JotFolio\source\src\features\constellation\nodeRenderers.jsx:144	0
EditorialNode	C:\Dev\Projects\JotFolio\source\src\features\constellation\nodeRenderers.jsx:253	0
NODE_VARIANTS	C:\Dev\Projects\JotFolio\source\src\features\constellation\nodeRenderers.jsx:350	0
SplitMemoryModal	C:\Dev\Projects\JotFolio\source\src\features\constellation\SplitMemoryModal.jsx:9	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:72
DetailPanel	C:\Dev\Projects\JotFolio\source\src\features\detail\DetailPanel.jsx:103	8	C:\Dev\Projects\JotFolio\source\src\App.jsx:67
_dropdownBus	C:\Dev\Projects\JotFolio\source\src\features\dropdowns\bus.js:6	0
useSingleOpenDropdown	C:\Dev\Projects\JotFolio\source\src\features\dropdowns\bus.js:7	6	C:\Dev\Projects\JotFolio\source\src\features\dropdowns\FontDropdown.jsx:3
useClickOutside	C:\Dev\Projects\JotFolio\source\src\features\dropdowns\bus.js:17	4	C:\Dev\Projects\JotFolio\source\src\features\dropdowns\FontDropdown.jsx:3
FontDropdown	C:\Dev\Projects\JotFolio\source\src\features\dropdowns\FontDropdown.jsx:5	2	C:\Dev\Projects\JotFolio\source\src\features\settings\SettingsPanel.jsx:11
HexInput	C:\Dev\Projects\JotFolio\source\src\features\dropdowns\HexInput.jsx:3	2	C:\Dev\Projects\JotFolio\source\src\features\settings\SettingsPanel.jsx:12
Select	C:\Dev\Projects\JotFolio\source\src\features\dropdowns\Select.jsx:7	46	C:\Dev\Projects\JotFolio\source\src\features\card\Card.jsx:18
themePreview	C:\Dev\Projects\JotFolio\source\src\features\dropdowns\ThemeDropdown.jsx:6	0
ThemeSwatch	C:\Dev\Projects\JotFolio\source\src\features\dropdowns\ThemeDropdown.jsx:18	0
ThemeDropdown	C:\Dev\Projects\JotFolio\source\src\features\dropdowns\ThemeDropdown.jsx:28	2	C:\Dev\Projects\JotFolio\source\src\features\settings\SettingsPanel.jsx:10
NoteBody	C:\Dev\Projects\JotFolio\source\src\features\editor\NoteBody.jsx:81	3	C:\Dev\Projects\JotFolio\source\src\features\detail\DetailPanel.jsx:9
EmptyState	C:\Dev\Projects\JotFolio\source\src\features\emptystate\EmptyState.jsx:6	9	C:\Dev\Projects\JotFolio\source\src\features\settings\KeywordRulesPanel.jsx:229
NotesWorkspaceView	C:\Dev\Projects\JotFolio\source\src\features\notes\NotesWorkspaceView.jsx:208	5	C:\Dev\Projects\JotFolio\source\src\features\notes\NotesWorkspaceView.regression.test.jsx:3
PluginPanelSlot	C:\Dev\Projects\JotFolio\source\src\features\plugins\PluginPanelSlot.jsx:7	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:53
createPanelStore	C:\Dev\Projects\JotFolio\source\src\features\plugins\PluginPanelSlot.jsx:39	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:53
IconButton	C:\Dev\Projects\JotFolio\source\src\features\primitives\IconButton.jsx:1	7	C:\Dev\Projects\JotFolio\source\src\features\detail\DetailPanel.jsx:5
Pressable	C:\Dev\Projects\JotFolio\source\src\features\primitives\Pressable.jsx:1	5	C:\Dev\Projects\JotFolio\source\src\features\sidebar\Sidebar.jsx:2
SR_ONLY	C:\Dev\Projects\JotFolio\source\src\features\primitives\SrOnly.jsx:1	0
SrOnly	C:\Dev\Projects\JotFolio\source\src\features\primitives\SrOnly.jsx:2	4	C:\Dev\Projects\JotFolio\source\src\features\detail\DetailPanel.jsx:6
TagSuggestions	C:\Dev\Projects\JotFolio\source\src\features\primitives\TagSuggestions.jsx:3	2	C:\Dev\Projects\JotFolio\source\src\features\detail\DetailPanel.jsx:7
Toasts	C:\Dev\Projects\JotFolio\source\src\features\primitives\Toasts.jsx:1	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:16
PropertiesPanel	C:\Dev\Projects\JotFolio\source\src\features\properties\PropertiesPanel.jsx:178	3	C:\Dev\Projects\JotFolio\source\src\features\detail\DetailPanel.jsx:10
__test__	C:\Dev\Projects\JotFolio\source\src\features\properties\PropertiesPanel.jsx:211	0
QuickSwitcher	C:\Dev\Projects\JotFolio\source\src\features\quickSwitcher\QuickSwitcher.jsx:96	4	C:\Dev\Projects\JotFolio\source\src\App.jsx:70
Ribbon	C:\Dev\Projects\JotFolio\source\src\features\ribbon\Ribbon.jsx:55	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:942
KeywordRulesPanel	C:\Dev\Projects\JotFolio\source\src\features\settings\KeywordRulesPanel.jsx:244	4	C:\Dev\Projects\JotFolio\source\src\App.jsx:855
PluginsPanel	C:\Dev\Projects\JotFolio\source\src\features\settings\PluginsPanel.jsx:9	3	C:\Dev\Projects\JotFolio\source\src\features\settings\SettingsPanel.jsx:14
PrivacyPanel	C:\Dev\Projects\JotFolio\source\src\features\settings\PrivacyPanel.jsx:6	3	C:\Dev\Projects\JotFolio\source\src\features\settings\SettingsPanel.jsx:15
SettingsPanel	C:\Dev\Projects\JotFolio\source\src\features\settings\SettingsPanel.jsx:363	5	C:\Dev\Projects\JotFolio\source\src\App.jsx:71
UpdatesPanel	C:\Dev\Projects\JotFolio\source\src\features\settings\UpdatesPanel.jsx:34	2	C:\Dev\Projects\JotFolio\source\src\features\settings\SettingsPanel.jsx:17
AppConfirmDialog	C:\Dev\Projects\JotFolio\source\src\features\shell\AppConfirmDialog.jsx:1	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:32
AppRouteContent	C:\Dev\Projects\JotFolio\source\src\features\shell\AppRouteContent.jsx:104	11	C:\Dev\Projects\JotFolio\source\src\App.jsx:34
HOME_SECTION	C:\Dev\Projects\JotFolio\source\src\features\shell\appShellState.js:5	5	C:\Dev\Projects\JotFolio\source\src\App.jsx:36
WORKSTATION_SECTIONS	C:\Dev\Projects\JotFolio\source\src\features\shell\appShellState.js:7	0
filterShellEntries	C:\Dev\Projects\JotFolio\source\src\features\shell\appShellState.js:9	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:37
getShellSectionTitle	C:\Dev\Projects\JotFolio\source\src\features\shell\appShellState.js:34	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:38
EntryFileDialog	C:\Dev\Projects\JotFolio\source\src\features\shell\EntryFileDialog.jsx:3	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:33
Sidebar	C:\Dev\Projects\JotFolio\source\src\features\sidebar\Sidebar.jsx:6	3	C:\Dev\Projects\JotFolio\source\src\App.jsx:17
TagManageDialog	C:\Dev\Projects\JotFolio\source\src\features\tags\TagManageDialog.jsx:90	2	C:\Dev\Projects\JotFolio\source\src\features\sidebar\Sidebar.jsx:3
InsertTemplateModal	C:\Dev\Projects\JotFolio\source\src\features\templates\InsertTemplateModal.jsx:16	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:68
TemplatesPanel	C:\Dev\Projects\JotFolio\source\src\features\templates\TemplatesPanel.jsx:7	2	C:\Dev\Projects\JotFolio\source\src\features\shell\AppRouteContent.jsx:24
Toolbar	C:\Dev\Projects\JotFolio\source\src\features\toolbar\Toolbar.jsx:7	3	C:\Dev\Projects\JotFolio\source\src\features\canvas\CanvasView.jsx:360
TrashView	C:\Dev\Projects\JotFolio\source\src\features\trash\TrashView.jsx:22	3	C:\Dev\Projects\JotFolio\source\src\features\settings\SettingsPanel.safety.test.js:14
UpdateBanner	C:\Dev\Projects\JotFolio\source\src\features\updater\UpdateBanner.jsx:12	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:26
